Week,Agent_ID,Strategy,Risk_Tolerance,Memory_Length,Decision,Actual_Attendance
6,8,Average,60,2,Stay,28
6,9,Pessimist,66,3,Go,28
6,10,Optimist,68,3,Stay,28
6,11,Pessimist,73,3,Go,28
6,12,Pessimist,65,3,Go,28
6,13,Pessimist,64,3,Stay,28
6,14,Average,74,2,Stay,28
6,15,Pessimist,69,3,Go,28
6,16,Optimist,67,3,Stay,28
6,17,Average,63,2,Stay,28
6,18,Optimist,63,3,Go,28
6,19,Average,68,2,Stay,28
6,20,Pessimist,63,3,Stay,28
6,21,Pessimist,68,3,Go,28
6,22,Average,64,2,Stay,28
6,23,Average,73,2,Stay,28
6,24,Pessimist,75,3,Go,28
6,25,Pessimist,67,3,Go,28
6,26,Optimist,75,3,Stay,28
6,27,Optimist,67,3,Stay,28
6,28,Pessimist,61,3,Stay,28
6,29,Average,74,2,Stay,28
6,30,Pessimist,63,3,Stay,28
6,31,Pessimist,66,3,Go,28
6,32,Average,64,2,Stay,28
6,33,Average,73,2,Stay,28
6,34,Average,69,2,Stay,28
6,35,Average,61,2,Stay,28
6,36,Average,71,2,Stay,28
6,37,Optimist,70,3,Stay,28
6,38,Optimist,65,3,Stay,28
6,39,Optimist,72,3,Stay,28
6,40,Average,60,2,Stay,28
6,41,Pessimist,67,3,Go,28
6,42,Optimist,67,3,Stay,28
6,43,Average,62,2,Stay,28
6,44,Pessimist,74,3,Go,28
6,45,Pessimist,72,3,Go,28
6,46,Optimist,68,3,Stay,28
6,47,Pessimist,66,3,Go,28
6,48,Average,75,2,Stay,28
6,49,Average,73,2,Stay,28
6,50,Average,73,2,Stay,28
6,51,Pessimist,73,3,Go,28
6,52,Average,72,2,Stay,28
6,53,Average,61,2,Stay,28
6,54,Pessimist,63,3,Stay,28
6,55,Optimist,70,3,Stay,28
6,56,Optimist,60,3,Go,28
6,57,Optimist,66,3,Stay,28
6,58,Average,61,2,Stay,28
6,59,Average,60,2,Stay,28
6,60,Average,70,2,Stay,28
6,61,Average,72,2,Stay,28
6,62,Pessimist,68,3,Go,28
6,63,Optimist,61,3,Go,28
6,64,Average,66,2,Stay,28
6,65,Pessimist,71,3,Go,28
6,66,Pessimist,62,3,Stay,28
6,67,Optimist,60,3,Go,28
6,68,Optimist,61,3,Go,28
6,69,Average,66,2,Stay,28
6,70,Optimist,71,3,Stay,28
6,71,Average,72,2,Stay,28
6,72,Optimist,69,3,Stay,28
6,73,Optimist,74,3,Stay,28
6,74,Average,72,2,Stay,28
6,75,Average,70,2,Stay,28
6,76,Optimist,62,3,Go,28
6,77,Optimist,63,3,Go,28
6,78,Pessimist,74,3,Go,28
6,79,Average,73,2,Stay,28
6,80,Pessimist,60,3,Stay,28
6,81,Average,62,2,Stay,28
6,82,Optimist,68,3,Stay,28
6,83,Optimist,60,3,Go,28
6,84,Average,60,2,Stay,28
6,85,Average,66,2,Stay,28
6,86,Average,71,2,Stay,28
6,87,Optimist,75,3,Stay,28
6,88,Optimist,68,3,Stay,28
6,89,Optimist,68,3,Stay,28
6,90,Pessimist,67,3,Go,28
6,91,Pessimist,72,3,Go,28
6,92,Average,72,2,Stay,28
6,93,Pessimist,63,3,Stay,28
6,94,Pessimist,63,3,Stay,28
6,95,Average,69,2,Stay,28
6,96,Pessimist,71,3,Go,28
6,97,Average,65,2,Stay,28
6,98,Average,64,2,Stay,28
6,99,Pessimist,62,3,Stay,28
7,0,Average,61,2,Go,69
7,1,Average,66,2,Go,69
7,2,Optimist,71,3,Stay,69
7,3,Pessimist,72,3,Go,69
7,4,Pessimist,63,3,Stay,69
7,5,Average,62,2,Go,69
7,6,Average,61,2,Go,69
7,7,Optimist,66,3,Stay,69
7,8,Average,60,2,Go,69
7,9,Pessimist,66,3,Go,69
7,10,Optimist,68,3,Stay,69
7,11,Pessimist,73,3,Go,69
7,12,Pessimist,65,3,Go,69
7,13,Pessimist,64,3,Stay,69
7,14,Average,74,2,Go,69
7,15,Pessimist,69,3,Go,69
7,16,Optimist,67,3,Stay,69
7,17,Average,63,2,Go,69
7,18,Optimist,63,3,Go,69
7,19,Average,68,2,Go,69
7,20,Pessimist,63,3,Stay,69
7,21,Pessimist,68,3,Go,69
7,22,Average,64,2,Go,69
7,23,Average,73,2,Go,69
7,24,Pessimist,75,3,Go,69
7,25,Pessimist,67,3,Go,69
7,26,Optimist,75,3,Stay,69
7,27,Optimist,67,3,Stay,69
7,28,Pessimist,61,3,Stay,69
7,29,Average,74,2,Go,69
7,30,Pessimist,63,3,Stay,69
7,31,Pessimist,66,3,Go,69
7,32,Average,64,2,Go,69
7,33,Average,73,2,Go,69
7,34,Average,69,2,Go,69
7,35,Average,61,2,Go,69
7,36,Average,71,2,Go,69
7,37,Optimist,70,3,Stay,69
7,38,Optimist,65,3,Stay,69
7,39,Optimist,72,3,Stay,69
7,40,Average,60,2,Go,69
7,41,Pessimist,67,3,Go,69
7,42,Optimist,67,3,Stay,69
7,43,Average,62,2,Go,69
7,44,Pessimist,74,3,Go,69
7,45,Pessimist,72,3,Go,69
7,46,Optimist,68,3,Stay,69
7,47,Pessimist,66,3,Go,69
7,48,Average,75,2,Go,69
7,49,Average,73,2,Go,69
7,50,Average,73,2,Go,69
7,51,Pessimist,73,3,Go,69
7,52,Average,72,2,Go,69
7,53,Average,61,2,Go,69
7,54,Pessimist,63,3,Stay,69
7,55,Optimist,70,3,Stay,69
7,56,Optimist,60,3,Go,69
7,57,Optimist,66,3,Stay,69
7,58,Average,61,2,Go,69
7,59,Average,60,2,Go,69
7,60,Average,70,2,Go,69
7,61,Average,72,2,Go,69
7,62,Pessimist,68,3,Go,69
7,63,Optimist,61,3,Go,69
7,64,Average,66,2,Go,69
7,65,Pessimist,71,3,Go,69
7,66,Pessimist,62,3,Stay,69
7,67,Optimist,60,3,Go,69
7,68,Optimist,61,3,Go,69
7,69,Average,66,2,Go,69
7,70,Optimist,71,3,Stay,69
7,71,Average,72,2,Go,69
7,72,Optimist,69,3,Stay,69
7,73,Optimist,74,3,Stay,69
7,74,Average,72,2,Go,69
7,75,Average,70,2,Go,69
7,76,Optimist,62,3,Go,69
7,77,Optimist,63,3,Go,69
7,78,Pessimist,74,3,Go,69
7,79,Average,73,2,Go,69
7,80,Pessimist,60,3,Stay,69
7,81,Average,62,2,Go,69
7,82,Optimist,68,3,Stay,69
7,83,Optimist,60,3,Go,69
7,84,Average,60,2,Go,69
7,85,Average,66,2,Go,69
7,86,Average,71,2,Go,69
7,87,Optimist,75,3,Stay,69
7,88,Optimist,68,3,Stay,69
7,89,Optimist,68,3,Stay,69
7,90,Pessimist,67,3,Go,69
7,91,Pessimist,72,3,Go,69
7,92,Average,72,2,Go,69
7,93,Pessimist,63,3,Stay,69
7,94,Pessimist,63,3,Stay,69
7,95,Average,69,2,Go,69
7,96,Pessimist,71,3,Go,69
7,97,Average,65,2,Go,69
7,98,Average,64,2,Go,69
7,99,Pessimist,62,3,Stay,69
8,0,Average,61,2,Go,69
8,1,Average,66,2,Go,69
8,2,Optimist,71,3,Stay,69
8,3,Pessimist,72,3,Go,69
8,4,Pessimist,63,3,Stay,69
8,5,Average,62,2,Go,69
8,6,Average,61,2,Go,69
8,7,Optimist,66,3,Stay,69
8,8,Average,60,2,Go,69
8,9,Pessimist,66,3,Go,69
8,10,Optimist,68,3,Stay,69
8,11,Pessimist,73,3,Go,69
8,12,Pessimist,65,3,Go,69
8,13,Pessimist,64,3,Stay,69
8,14,Average,74,2,Go,69
8,15,Pessimist,69,3,Go,69
8,16,Optimist,67,3,Stay,69
8,17,Average,63,2,Go,69
8,18,Optimist,63,3,Go,69
8,19,Average,68,2,Go,69
8,20,Pessimist,63,3,Stay,69
8,21,Pessimist,68,3,Go,69
8,22,Average,64,2,Go,69
8,23,Average,73,2,Go,69
8,24,Pessimist,75,3,Go,69
8,25,Pessimist,67,3,Go,69
8,26,Optimist,75,3,Stay,69
8,27,Optimist,67,3,Stay,69
