Week,Agent_ID,Strategy,Memory_Length,Risk_Tolerance,A_weighted,Decision,Actual_Attendance
6,91,Optimist,3,75,61.8,Go,1
6,92,Pessimist,2,53,47.199999999999996,Go,1
6,93,Optimist,4,63,61.6,Go,1
6,94,Pessimist,3,63,61.8,Go,1
6,95,Pessimist,4,51,61.6,Stay,1
6,96,Average,4,70,61.6,Go,1
6,97,Optimist,2,62,47.199999999999996,Go,1
6,98,Average,3,75,61.8,Go,1
6,99,Optimist,2,56,47.199999999999996,Go,1
7,0,Average,2,50,26.2,Go,85
7,1,Average,3,57,50.8,Go,85
7,2,Optimist,2,73,26.2,Go,85
7,3,Optimist,4,73,62.0,Go,85
7,4,Average,2,68,26.2,Go,85
7,5,Pessimist,2,50,26.2,Stay,85
7,6,Optimist,2,57,26.2,Go,85
7,7,Average,4,50,62.0,Stay,85
7,8,Average,2,72,26.2,Go,85
7,9,Average,4,67,62.0,Go,85
7,10,Pessimist,2,64,26.2,Stay,85
7,11,Average,3,75,50.8,Go,85
7,12,Optimist,2,72,26.2,Go,85
7,13,Pessimist,3,58,50.8,Stay,85
7,14,Optimist,2,74,26.2,Go,85
7,15,Pessimist,2,52,26.2,Stay,85
7,16,Pessimist,2,61,26.2,Stay,85
7,17,Pessimist,4,58,62.0,Stay,85
7,18,Optimist,4,64,62.0,Go,85
7,19,Average,2,62,26.2,Go,85
7,20,Optimist,4,59,62.0,Stay,85
7,21,Average,4,61,62.0,Stay,85
7,22,Average,2,72,26.2,Go,85
7,23,Optimist,2,71,26.2,Go,85
7,24,Optimist,3,52,50.8,Go,85
7,25,Optimist,2,62,26.2,Go,85
7,26,Pessimist,3,70,50.8,Stay,85
7,27,Pessimist,2,61,26.2,Stay,85
7,28,Pessimist,2,71,26.2,Stay,85
7,29,Pessimist,4,71,62.0,Stay,85
7,30,Average,2,69,26.2,Go,85
7,31,Average,2,67,26.2,Go,85
